Incident Datetime,Incident Date,Incident Time,Incident Year,Incident Day of Week,Report Datetime,Row ID,Incident ID,Incident Number,CAD Number,Report Type Code,Report Type Description,Filed Online,Incident Code,Incident Category,Incident Subcategory,Incident Description,Resolution,Intersection,CNN,Police District,Analysis Neighborhood,Supervisor District,Latitude,Longitude,point,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,HSOC Zones as of 2018-06-05,OWED Public Spaces,Central Market/Tenderloin Boundary Polygon - Updated,Parks Alliance CPSI (27+TL sites),ESNCAG - Boundary File,"Areas of Vulnerability, 2016"
2020/08/15 12:43:00 PM,2020/08/15,12:43,2020,Saturday,2020/08/15 12:58:00 PM,95308704134,953087,200490354,202281583,II,Initial,,04134,Assault,Simple Assault,Battery,Open or Active,GENEVA AVE \ LONDON ST,21475000,Ingleside,Excelsior,11,37.716038818883085,-122.44025513581519,"(37.716038818883085, -122.44025513581519)",58,9,1,7,,,,,,2
2020/08/13 03:26:00 AM,2020/08/13,03:26,2020,Thursday,2020/08/14 12:55:00 PM,95324605073,953246,200485355,,IS,Coplogic Supplement,true,05073,Burglary,Burglary - Other,"Burglary, Other Bldg., Unlawful Entry",Open or Active,WALLER ST \ CARMELITA ST,25998000,Park,Haight Ashbury,8,37.770646047967126,-122.43440451408435,"(37.770646047967126, -122.43440451408435)",28,7,5,3,,,,,,1
2020/08/16 10:00:00 AM,2020/08/16,10:00,2020,Sunday,2020/08/16 04:00:00 PM,95336071000,953360,200492639,202292046,II,Initial,,71000,Lost Property,Lost Property,Lost Property,Open or Active,FULTON ST \ LA PLAYA,27978000,Richmond,Outer Richmond,1,37.771396030943585,-122.50989475109745,"(37.771396030943585, -122.50989475109745)",8,8,4,29,,,,,,1
2020/08/15 01:45:00 PM,2020/08/15,13:45,2020,Saturday,2020/08/16 05:40:00 PM,95338215200,953382,200493007,202292007,II,Initial,,15200,Offences Against The Family And Children,Other,Domestic Violence (secondary only),Open or Active,OCEAN AVE \ LEE AVE,22223000,Taraval,West of Twin Peaks,7,37.72345700607633,-122.45411575418224,"(37.72345700607633, -122.45411575418224)",64,10,8,41,,,,,,1
2020/08/16 12:53:00 PM,2020/08/16,12:53,2020,Sunday,2020/08/16 12:53:00 PM,95332128160,953321,200492281,202291441,II,Initial,,28160,Malicious Mischief,Vandalism,"Malicious Mischief, Vandalism to Vehicle",Open or Active,LOMBARD ST \ BUCHANAN ST,26737000,Northern,Marina,2,37.80026011292863,-122.43276049037412,"(37.80026011292863, -122.43276049037412)",15,4,6,13,,,,,,1
2020/08/15 02:57:00 AM,2020/08/15,02:57,2020,Saturday,2020/08/15 03:41:00 AM,95312904134,953129,200489686,202280297,II,Initial,,04134,Assault,Simple Assault,Battery,Open or Active,ARKANSAS ST \ MARIPOSA ST,23683000,Bayview,Potrero Hill,10,37.76373572668911,-122.39858041765093,"(37.76373572668911, -122.39858041765093)",54,2,9,26,,,,,,1
2020/08/15 10:04:00 PM,2020/08/15,22:04,2020,Saturday,2020/08/15 10:06:00 PM,95318568020,953185,200491396,202283541,II,Initial,,68020,Miscellaneous Investigation,Miscellaneous Investigation,Miscellaneous Investigation,Open or Active,WILLIE B KENNEDY DR \ HUDSON AVE,34015000,Bayview,Bayview Hunters Point,10,37.733373030798255,-122.3820300354796,"(37.733373030798255, -122.3820300354796)",86,2,9,1,,,,,,2
2020/08/16 07:56:00 AM,2020/08/16,07:56,2020,Sunday,2020/08/16 07:56:00 AM,95326607045,953266,200481820,202290708,VS,Vehicle Supplement,,07045,Recovered Vehicle,Recovered Vehicle,"Vehicle, Recovered, Truck",Open or Active,YOSEMITE AVE \ INGALLS ST,20148000,Bayview,Bayview Hunters Point,10,37.724729109115316,-122.3879304959651,"(37.724729109115316, -122.3879304959651)",78,2,9,1,,,,,,2
2020/08/16 08:30:00 AM,2020/08/16,08:30,2020,Sunday,2020/08/16 10:02:00 AM,95327872000,953278,200492021,202290967,II,Initial,,72000,Non-Criminal,Non-Criminal,Found  Property,Open or Active,STEINER ST \ GREENWICH ST,26765000,Central,Marina,2,37.798742206361894,-122.43751436179969,"(37.798742206361894, -122.43751436179969)",15,4,6,13,,,,,,1
2020/08/16 12:20:00 PM,2020/08/16,12:20,2020,Sunday,2020/08/16 12:20:00 PM,95329927170,953299,200492225,202291330,II,Initial,,27170,Other Miscellaneous,Other,"Resisting, Delaying, or Obstructing  Peace Officer Duties",Cite or Arrest Adult,16TH ST \ BRYANT ST,24048000,Mission,Mission,10,37.76560583760297,-122.41048669029503,"(37.76560583760297, -122.41048669029503)",53,3,9,20,3,,,,,2
2020/07/04 12:00:00 AM,2020/07/04,00:00,2020,Saturday,2020/08/16 11:30:00 AM,95330605071,953306,200435861,202020501,IS,Initial Supplement,,05071,Burglary,Burglary - Other,"Burglary, Other Bldg., Forcible Entry",Cite or Arrest Adult,BOARDMAN PL \ BRYANT ST,23914000,Out of SF,South of Market,6,37.7751608100771,-122.40363551943442,"(37.7751608100771, -122.40363551943442)",32,1,10,34,,,,,,2
2020/08/15 09:00:00 PM,2020/08/15,21:00,2020,Saturday,2020/08/15 09:27:00 PM,95317419057,953174,200491283,202283431,II,Initial,,19057,Disorderly Conduct,Intimidation,Terrorist Threats,Open or Active,PERSIA AVE \ MISSION ST,21744000,Ingleside,Excelsior,11,37.72312996239932,-122.43597688974761,"(37.72312996239932, -122.43597688974761)",80,9,1,7,,,,,,2
2020/08/15 08:30:00 PM,2020/08/15,20:30,2020,Saturday,2020/08/15 09:35:00 PM,95315964070,953159,200491302,202283317,II,Initial,,64070,Suspicious Occ,Suspicious Occ,Suspicious Occurrence,Open or Active,ORBEN PL \ PINE ST,26606000,Northern,Pacific Heights,5,37.78805463369619,-122.43282555909973,"(37.78805463369619, -122.43282555909973)",102,4,11,30,,,,,,1
2020/08/16 07:55:00 PM,2020/08/16,19:55,2020,Sunday,2020/08/16 07:58:00 PM,95340364070,953403,200493273,202292724,II,Initial,,64070,Suspicious Occ,Suspicious Occ,Suspicious Occurrence,Open or Active,08TH ST \ HOWARD ST,24299000,Southern,South of Market,6,37.77622135530407,-122.41160611386445,"(37.77622135530407, -122.41160611386445)",32,1,10,34,1,,,,,2
2020/08/15 10:10:00 PM,2020/08/15,22:10,2020,Saturday,2020/08/15 10:10:00 PM,95316971012,953169,200477001,202282851,VS,Vehicle Supplement,,71012,Other Offenses,Other Offenses,"License Plate, Recovered",Open or Active,TIOGA AVE \ RUTLAND ST,20334000,Ingleside,Visitacion Valley,10,37.716592019024134,-122.40560927592158,"(37.716592019024134, -122.40560927592158)",75,9,9,40,,,,,,2
2020/08/15 08:30:00 PM,2020/08/15,20:30,2020,Saturday,2020/08/15 08:53:00 PM,95316003014,953160,200422294,202283277,IS,Initial Supplement,,03014,Robbery,Robbery - Street,"Robbery, Street or Public Place, W/ Force",Cite or Arrest Adult,STEUART ST \ MISSION ST,24552000,Central,Financial District/South Beach,3,37.79323049132005,-122.3931813328012,"(37.79323049132005, -122.3931813328012)",108,1,3,8,4,,,,,1
2020/08/06 11:00:00 PM,2020/08/06,23:00,2020,Thursday,2020/08/16 12:25:00 PM,95336805083,953368,200492269,202291343,II,Initial,,05083,Burglary,Burglary - Hot Prowl,"Burglary, Hot Prowl, Unlawful Entry",Open or Active,HOWARD ST \ SUMNER ST,24301000,Southern,South of Market,6,37.776689832001516,-122.41101441929457,"(37.776689832001516, -122.41101441929457)",32,1,10,34,1,,1,,,2
2020/08/15 11:55:00 PM,2020/08/15,23:55,2020,Saturday,2020/08/16 12:16:00 AM,95318104012,953181,200491528,202290041,II,Initial,,04012,Assault,Aggravated Assault,"Assault, Aggravated, W/ Knife",Open or Active,16TH ST \ MISSION ST,24170000,Mission,Mission,9,37.76505133632968,-122.41966897380142,"(37.76505133632968, -122.41966897380142)",53,3,2,20,3,50,,24,,2
2020/08/15 12:00:00 AM,2020/08/15,00:00,2020,Saturday,2020/08/15 07:30:00 PM,95314227172,953142,200491170,202283094,II,Initial,,27172,Other Miscellaneous,Intimidation,"Resisting Peace Officer, causing Their Serious Injury or Death",Cite or Arrest Adult,CLAYTON ST \ HAIGHT ST,26409000,Park,Haight Ashbury,5,37.76979784988983,-122.44857881825685,"(37.76979784988983, -122.44857881825685)",25,7,11,3,,,,,,1
2020/08/16 01:45:00 PM,2020/08/16,13:45,2020,Sunday,2020/08/16 01:45:00 PM,95330507041,953305,200486789,202291618,VS,Vehicle Supplement,,07041,Recovered Vehicle,Recovered Vehicle,"Vehicle, Recovered, Auto",Open or Active,FAIRFAX AVE \ NEWHALL ST,20237000,Bayview,Bayview Hunters Point,10,37.74129736560071,-122.38714331320446,"(37.74129736560071, -122.38714331320446)",86,2,9,1,,,,,,2
2020/08/14 09:45:00 AM,2020/08/14,09:45,2020,Friday,2020/08/14 12:57:00 PM,95323606244,953236,206121448,,II,Coplogic Initial,true,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,,,Richmond,,,,,,,,,,,,,,,
2020/07/16 12:00:00 PM,2020/07/16,12:00,2020,Thursday,2020/08/13 01:54:00 PM,95325105073,953251,200432049,,IS,Coplogic Supplement,true,05073,Burglary,Burglary - Other,"Burglary, Other Bldg., Unlawful Entry",Open or Active,FILLMORE ST \ BEACH ST,26786000,Northern,Marina,2,37.80435912227808,-122.43704556734586,"(37.80435912227808, -122.43704556734586)",17,4,6,13,,,,,,1
2020/07/27 01:25:00 PM,2020/07/27,13:25,2020,Monday,2020/08/16 10:00:00 AM,95331706362,953317,200449135,,IS,Initial Supplement,,06362,Larceny Theft,Larceny Theft - Shoplifting,"Theft, Shoplifting, $50-$200",Cite or Arrest Adult,TAYLOR ST \ NORTH POINT ST,25592000,Central,North Beach,3,37.8063434285485,-122.41543157088526,"(37.8063434285485, -122.41543157088526)",99,6,3,23,,,,,,2
2020/08/16 10:12:00 AM,2020/08/16,10:12,2020,Sunday,2020/08/16 10:12:00 AM,95328228100,953282,200492059,202290990,II,Initial,,28100,Malicious Mischief,Vandalism,"Malicious Mischief, Breaking Windows",Cite or Arrest Adult,08TH ST \ GROVE ST \ HYDE ST \ MARKET ST,24429000,Tenderloin,Tenderloin,6,37.77871942789032,-122.4147412230519,"(37.77871942789032, -122.4147412230519)",21,5,10,36,1,35,1,,,2
2020/08/15 09:00:00 PM,2020/08/15,21:00,2020,Saturday,2020/08/16 10:15:00 AM,95330805081,953308,200492429,202290996,II,Initial,,05081,Burglary,Burglary - Hot Prowl,"Burglary, Hot Prowl, Forcible Entry",Open or Active,CLAY ST \ CHERRY ST,27571000,Richmond,Presidio Heights,2,37.78780934183433,-122.45705805538128,"(37.78780934183433, -122.45705805538128)",10,8,6,31,,,,,,1
2020/08/15 07:30:00 PM,2020/08/15,19:30,2020,Saturday,2020/08/15 08:01:00 PM,95315575000,953155,200430532,202283182,IS,Initial Supplement,,75000,Missing Person,Missing Person,Found Person,Open or Active,LAKEVIEW AVE \ MAJESTIC AVE,21600000,Taraval,Oceanview/Merced/Ingleside,11,37.7169775067907,-122.45189499287864,"(37.7169775067907, -122.45189499287864)",81,10,1,24,,,,,,2
2020/08/15 10:33:00 PM,2020/08/15,22:33,2020,Saturday,2020/08/15 10:37:00 PM,95317664085,953176,200491380,202283624,II,Initial,,64085,Other Miscellaneous,Other,Investigative Detention,Open or Active,SHORT ST \ MARKET ST,26152000,Mission,Castro/Upper Market,8,37.75779863112254,-122.44321651100431,"(37.75779863112254, -122.44321651100431)",47,3,5,5,,,,,,1
2020/08/14 12:00:00 AM,2020/08/14,00:00,2020,Friday,2020/08/14 06:21:00 PM,95321928150,953219,206121523,,II,Coplogic Initial,true,28150,Malicious Mischief,Vandalism,"Malicious Mischief, Vandalism to Property",Open or Active,FELL ST \ LAGUNA ST,25913000,Northern,Hayes Valley,5,37.77552454478846,-122.42607032528431,"(37.77552454478846, -122.42607032528431)",22,4,11,9,,,,,,1
2020/08/16 09:18:00 PM,2020/08/16,21:18,2020,Sunday,2020/08/16 09:29:00 PM,95339807021,953398,200493386,202292947,VI,Vehicle Initial,,07021,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Stolen, Auto",Open or Active,MISSION ST \ ANNIE ST,24612000,Southern,Financial District/South Beach,6,37.786851714583754,-122.40126150328634,"(37.786851714583754, -122.40126150328634)",32,1,10,8,,,,,,1
2020/08/16 09:30:00 AM,2020/08/16,09:30,2020,Sunday,2020/08/16 09:30:00 AM,95327607041,953276,200478344,202290809,VS,Vehicle Supplement,,07041,Recovered Vehicle,Recovered Vehicle,"Vehicle, Recovered, Auto",Open or Active,RAMONA AVE \ 15TH ST,25838000,Southern,Mission,8,37.76634882800007,-122.42520013272777,"(37.76634882800007, -122.42520013272777)",37,3,5,20,,,,,,2
2020/08/16 04:20:00 PM,2020/08/16,16:20,2020,Sunday,2020/08/16 04:20:00 PM,95334507041,953345,200491926,202291728,VS,Vehicle Supplement,,07041,Recovered Vehicle,Recovered Vehicle,"Vehicle, Recovered, Auto",Open or Active,POST ST \ LEAVENWORTH ST,25157000,Central,Tenderloin,6,37.787453843203366,-122.41499542426826,"(37.787453843203366, -122.41499542426826)",50,6,10,36,,,,,,2
2020/08/16 02:00:00 PM,2020/08/16,14:00,2020,Sunday,2020/08/16 04:48:00 PM,95340474000,953404,200492849,202292093,II,Initial,,74000,Missing Person,Missing Adult,Missing Adult,Open or Active,07TH ST \ CLEVELAND ST,24257000,Southern,South of Market,6,37.77630595203942,-122.40728965907793,"(37.77630595203942, -122.40728965907793)",32,1,10,34,,,,,,2
2020/08/15 05:00:00 PM,2020/08/15,17:00,2020,Saturday,2020/08/15 09:47:00 PM,95318606243,953186,200491324,202283481,II,Initial,,06243,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, $200-$950",Open or Active,POST ST \ MASON ST,24919000,Central,Nob Hill,3,37.78808218625765,-122.41005693097291,"(37.78808218625765, -122.41005693097291)",19,6,3,21,,,,,,2
2020/08/15 11:38:00 PM,2020/08/15,23:38,2020,Saturday,2020/08/15 11:42:00 PM,95320527065,953205,200491471,202283821,II,Initial,,27065,Other Miscellaneous,Fraud,"Identification To Peace Officer, False",Cite or Arrest Adult,SANCHEZ ST \ MARKET ST,25806000,Mission,Castro/Upper Market,8,37.765867985549704,-122.43102547213662,"(37.765867985549704, -122.43102547213662)",28,3,5,5,5,,,,,1
2020/08/14 10:30:00 AM,2020/08/14,10:30,2020,Friday,2020/08/16 07:40:00 PM,95337406373,953374,200493182,202292685,II,Initial,,06373,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, $200-$950",Open or Active,NORTHGATE DR \ DARIEN WAY,22678000,Taraval,West of Twin Peaks,7,37.729318598288685,-122.46152436370387,"(37.729318598288685, -122.46152436370387)",68,10,8,41,,,,,,1
2020/08/15 04:24:00 PM,2020/08/15,16:24,2020,Saturday,2020/08/15 04:24:00 PM,95316506363,953165,200489062,202282409,IS,Initial Supplement,,06363,Larceny Theft,Larceny Theft - Shoplifting,"Theft, Shoplifting, $200-$950",Cite or Arrest Adult,MISSION ST \ FREMONT ST,24560000,Ingleside,Financial District/South Beach,6,37.79046106747903,-122.39668969554637,"(37.79046106747903, -122.39668969554637)",108,1,10,8,,,,,,1
2020/08/16 04:14:00 PM,2020/08/16,16:14,2020,Sunday,2020/08/16 04:27:00 PM,95333328160,953333,200492786,202292087,II,Initial,,28160,Malicious Mischief,Vandalism,"Malicious Mischief, Vandalism to Vehicle",Open or Active,HYDE ST \ BUSH ST,25174000,Central,Nob Hill,3,37.789110174829865,-122.41701687926658,"(37.789110174829865, -122.41701687926658)",50,6,3,21,,,,,,1
2020/08/16 10:50:00 AM,2020/08/16,10:50,2020,Sunday,2020/08/16 10:58:00 AM,95328906303,953289,200492156,202291086,II,Initial,,06303,Larceny Theft,Larceny Theft - From Building,"Theft, From Building, $200-$950",Open or Active,OCTAVIA ST \ LOMBARD ST,26721000,Northern,Marina,2,37.80067840662268,-122.42947088544138,"(37.80067840662268, -122.42947088544138)",17,4,6,13,,,,,,1
2020/08/16 11:45:00 AM,2020/08/16,11:45,2020,Sunday,2020/08/16 12:29:00 PM,95330172000,953301,200492231,202291355,II,Initial,,72000,Non-Criminal,Non-Criminal,Found  Property,Open or Active,FILLMORE ST \ CALIFORNIA ST,26611000,Northern,Pacific Heights,2,37.7889062829483,-122.43383965518827,"(37.7889062829483, -122.43383965518827)",103,4,6,30,,,,,,1
2020/08/16 12:46:00 PM,2020/08/16,12:46,2020,Sunday,2020/08/16 12:46:00 PM,95332864020,953328,200492338,202291417,II,Initial,,64020,Non-Criminal,Other,Mental Health Detention,Open or Active,OFARRELL ST \ SHANNON ST,24944000,Tenderloin,Tenderloin,6,37.78589292711297,-122.41214750780264,"(37.78589292711297, -122.41214750780264)",20,5,10,36,,,1,,,2
2020/08/16 03:47:00 PM,2020/08/16,15:47,2020,Sunday,2020/08/16 03:49:00 PM,95336415015,953364,200492667,202292013,II,Initial,,15015,Family Offense,Child Abuse,"Child, Inflicting Physical Pain, Mental Suffering, or Death",Open or Active,HEMLOCK ST \ LAGUNA ST,26523000,Northern,Japantown,5,37.786246576578144,-122.42824149689217,"(37.786246576578144, -122.42824149689217)",101,4,11,15,,,,,,2
2020/08/10 12:00:00 AM,2020/08/10,00:00,2020,Monday,2020/08/14 04:51:00 PM,95323206374,953232,206121476,,II,Coplogic Initial,true,06374,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, >$950",Open or Active,GEARY BLVD \ BLAKE ST,26909000,Richmond,Lone Mountain/USF,1,37.78198411507612,-122.45111986144946,"(37.78198411507612, -122.45111986144946)",12,8,4,18,,,,,,1
2020/08/16 03:50:00 PM,2020/08/16,15:50,2020,Sunday,2020/08/16 05:19:00 PM,95335206244,953352,200492918,202292286,II,Initial,,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,WEBSTER ST \ POST ST,26591000,Northern,Japantown,5,37.78537264618818,-122.43136639807875,"(37.78537264618818, -122.43136639807875)",101,4,11,15,,,,,,2
2020/08/07 01:45:00 PM,2020/08/07,13:45,2020,Friday,2020/08/14 05:03:00 PM,95324706244,953247,200472813,,IS,Coplogic Supplement,true,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,FILLMORE ST \ HAIGHT ST,25899000,Northern,Hayes Valley,5,37.77210825726729,-122.43043391908799,"(37.77210825726729, -122.43043391908799)",26,4,11,9,,,,,,1
2020/08/14 05:45:00 PM,2020/08/14,17:45,2020,Friday,2020/08/14 10:04:00 PM,95321006244,953210,206121545,,II,Coplogic Initial,true,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,GOUGH ST \ HAIGHT ST \ MARKET ST,30753000,Northern,Hayes Valley,5,37.77303605003146,-122.42194124860255,"(37.77303605003146, -122.42194124860255)",26,1,11,9,1,,,,,1
2020/08/16 07:11:00 AM,2020/08/16,07:11,2020,Sunday,2020/08/16 07:59:00 AM,95327128100,953271,200491885,202290739,II,Initial,,28100,Malicious Mischief,Vandalism,"Malicious Mischief, Breaking Windows",Open or Active,VALENCIA ST \ MISSION ST,21338000,Ingleside,Bernal Heights,9,37.74538901941569,-122.42001912851097,"(37.74538901941569, -122.42001912851097)",83,9,2,2,,,,,,1
2020/08/07 08:30:00 PM,2020/08/07,20:30,2020,Friday,2020/08/16 09:20:00 PM,95339305013,953393,200493342,202291359,II,Initial,,05013,Burglary,Burglary - Residential,"Burglary, Apartment House, Unlawful Entry",Open or Active,ALBION ST \ 16TH ST,25699000,Mission,Mission,8,37.76484329795315,-122.42311242181232,"(37.76484329795315, -122.42311242181232)",37,3,5,20,,,,,,2
2020/08/16 01:32:00 AM,2020/08/16,01:32,2020,Sunday,2020/08/16 01:50:00 AM,95318926030,953189,200491584,202290209,II,Initial,,26030,Arson,Arson,Arson,Open or Active,LARKIN ST \ CALIFORNIA ST,25294000,Central,Nob Hill,3,37.79078805361173,-122.41903621239146,"(37.79078805361173, -122.41903621239146)",105,6,3,21,,,,,,1
2020/08/16 03:00:00 PM,2020/08/16,15:00,2020,Sunday,2020/08/16 04:15:00 PM,95333806243,953338,200492770,202292139,II,Initial,,06243,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, $200-$950",Open or Active,UNION ST \ POWELL ST,25423000,Central,Chinatown,3,37.800239158433,-122.41083364012503,"(37.800239158433, -122.41083364012503)",107,6,3,6,,17,,,,2
2020/08/16 06:15:00 PM,2020/08/16,18:15,2020,Sunday,2020/08/16 06:25:00 PM,95341403074,953414,200493091,202292457,II,Initial,,03074,Robbery,Robbery - Other,"Robbery, W/ Force",Open or Active,GEARY BLVD \ COLLINS ST,26908000,Richmond,Lone Mountain/USF,1,37.782116602343244,-122.45009230346619,"(37.782116602343244, -122.45009230346619)",12,8,4,18,,,,,,1
2020/08/15 10:30:00 PM,2020/08/15,22:30,2020,Saturday,2020/08/16 06:30:00 AM,95325774000,953257,200491813,202290621,II,Initial,,74000,Missing Person,Missing Adult,Missing Adult,Open or Active,26TH ST \ SAN JOSE AVE,33363000,Mission,Mission,8,37.74885044177842,-122.42128446199904,"(37.74885044177842, -122.42128446199904)",53,3,5,20,,,,,,1
2020/08/12 05:40:00 PM,2020/08/12,17:40,2020,Wednesday,2020/08/13 08:37:00 AM,95321506244,953215,206121573,,II,Coplogic Initial,true,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,NATOMA ST \ 11TH ST,24355000,Southern,South of Market,6,37.773532375271806,-122.41610416294883,"(37.773532375271806, -122.41610416294883)",32,1,10,34,1,,1,,,2
2020/08/16 05:53:00 AM,2020/08/16,05:53,2020,Sunday,2020/08/16 06:28:00 AM,95325828100,953258,200491794,202290607,II,Initial,,28100,Malicious Mischief,Vandalism,"Malicious Mischief, Breaking Windows",Cite or Arrest Adult,STOCKTON ST \ STOCKTON TUNL \ SUTTER ST,24910000,Central,Financial District/South Beach,3,37.78943368124484,-122.40695698813221,"(37.78943368124484, -122.40695698813221)",19,6,3,8,,,,,,2
2020/08/12 01:00:00 PM,2020/08/12,13:00,2020,Wednesday,2020/08/12 10:53:00 PM,95324206244,953242,206121642,,II,Coplogic Initial,true,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,,,Southern,,,,,,,,,,,,,,,
2020/02/27 10:11:00 PM,2020/02/27,22:11,2020,Thursday,2020/08/16 10:00:00 AM,95335575030,953355,200492601,202291952,II,Initial,,75030,Case Closure,Case Closure,Case Closure,Cite or Arrest Adult,TAYLOR ST \ NORTH POINT ST,25592000,Central,North Beach,3,37.8063434285485,-122.41543157088526,"(37.8063434285485, -122.41543157088526)",99,6,3,23,,,,,,2
2020/08/13 10:19:00 AM,2020/08/13,10:19,2020,Thursday,2020/08/16 05:40:00 PM,95338005041,953380,200485355,202261028,IS,Initial Supplement,,05041,Burglary,Burglary - Residential,"Burglary, Residence, Forcible Entry",Open or Active,WALLER ST \ CARMELITA ST,25998000,Park,Haight Ashbury,8,37.770646047967126,-122.43440451408435,"(37.770646047967126, -122.43440451408435)",28,7,5,3,,,,,,1
